Player Name,Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Edward Loar,59.0,56.01,295.6,62.05,29.66,48.34,71.922,43,0,0,0.145,-1.118,0.059,-0.728,-0.594,97947.0
John Daly,50.0,55.78,306.7,62.08,28.89,52.55,70.87899999999998,298,0,1,0.192,-0.406,0.272,-0.267,-0.604,488505.0
Tommy Gainey,98.0,55.63,297.2,62.3,28.91,53.53,71.54,464,0,1,0.113,-0.517,-0.108,-0.26,-0.262,1540749.0
Matt Jones,53.0,55.49,293.7,64.74,29.41,58.52,71.367,143,0,1,-0.09,-0.557,-0.192,-0.387,0.112,300254.0
Robert Karlsson,54.0,55.22,294.7,63.25,29.27,52.62,71.453,239,0,0,-0.531,-0.469,-0.04,0.07200000000000001,0.03,393340.0
Marc Leishman,84.0,55.2,289.4,62.76,29.26,58.26,70.831,1003,1,2,-0.331,0.212,-0.209,0.5589999999999999,0.193,1933761.0
Andres Romero,68.0,54.9,292.0,61.3,29.22,55.98,71.543,506,0,2,-0.223,-0.409,-0.21600000000000005,0.078,-0.049,970919.0
Harrison Frazar,56.0,54.68,297.7,61.21,29.2,53.85,71.73899999999998,387,0,2,0.023,-0.551,0.108,-0.358,-0.325,730203.0
Charles Howell III,98.0,54.6,294.6,66.61,29.54,56.2,70.385,666,0,1,0.054000000000000006,0.679,0.098,0.257,0.27,1284578.0
Gary Woodland,70.0,54.55,301.6,64.01,29.83,52.8,71.55199999999998,321,0,0,-0.4970000000000001,-0.293,0.32,0.153,-0.269,592879.0
J.B. Holmes,90.0,54.4,309.7,64.5,29.21,55.92,70.92399999999998,568,0,2,-0.057,0.496,0.585,-0.219,0.18600000000000005,1179505.0
Phil Mickelson,79.0,54.31,294.4,64.14,28.49,61.57,70.03,1373,1,5,0.562,1.422,-0.103,0.5660000000000001,0.398,4203821.0
Aaron Baddeley,73.0,54.3,292.0,58.1,28.07,59.85,71.113,635,0,3,0.604,0.14300000000000002,-0.108,-0.504,0.152,1215753.0
Jason Kokrak,79.0,53.92,304.1,66.0,29.56,56.43,71.445,165,0,1,-0.184,-0.447,-0.044,-0.173,-0.045,750221.0
Martin Flores,95.0,53.58,295.0,63.98,28.71,59.04,70.538,556,0,2,0.6559999999999999,0.419,0.077,-0.507,0.192,1035569.0
Stewart Cink,71.0,53.43,288.8,64.26,29.7,52.9,71.483,310,0,0,0.301,-0.228,-0.485,0.195,-0.239,477173.0
Jhonattan Vegas,77.0,53.09,304.6,66.07,29.93,49.78,71.44,361,0,2,-0.035,-0.387,-0.012,-0.206,-0.135,801803.0
Jimmy Walker,101.0,52.74,296.5,64.3,28.78,58.09,70.556,763,0,4,0.4270000000000001,0.547,-0.243,0.105,0.258,1638419.0
Troy Matteson,100.0,52.67,298.9,64.01,29.39,56.49,71.247,662,0,3,0.136,-0.051,-0.066,0.075,-0.196,1198953.0
Troy Kelly,68.0,52.6,299.5,63.17,29.03,59.12,71.531,394,0,1,0.05,-0.6920000000000001,-0.211,-0.53,-0.001,786832.0
Jason Day,57.0,52.48,308.6,61.31,28.42,61.36,70.152,417,0,3,0.526,1.024,0.121,0.102,0.275,1143233.0
Matt Bettencourt,80.0,52.29,288.2,58.95,28.82,51.69,72.182,177,0,1,-0.201,-1.262,-0.5579999999999999,-0.425,-0.077,335076.0
