"Name","Frequency"
"ANHAD",6
"ARIE",6
"ARIEL",6
"ARSHAN",6
"ARTEEN",6
"ARUN",6
"AUBREY",6
"AYDAN",6
"BELLAMY",6
"BERNARD",6
"BISHOP",6
"BRODERICK",6
"CAEDEN",6
"CAELAN",6
"CAINE",6
"CARSEN",6
"CASPIAN",6
"CLEMENT",6
"CLIVE",6
"DARSH",6
"DAWUD",6
"DEKLAN",6
"DENIS",6
"DENIZ",6
"DENZEL",6
"DIEDRICH",6
"DION",6
"DRAKE",6
"EHSAN",6
"EISA",6
"ELIOTT",6
"EMILIANO",6
"FAAIZ",6
"FARHAN",6
"FITZGERALD",6
"FRANKIE",6
"FREDDY",6
"GABRIELE",6
"GAVYN",6
"GIANNI",6
"GILBERT",6
"GIORDANO",6
"GREY",6
"GRYPHON",6
"GURBAAZ",6
"HAIDEN",6
"HANSON",6
"HARFATEH",6
"HEZEKIAH",6
"HOUSTON",6
"IDREES",6
"ISMAEL",6
"IZAAK",6
"JACOBY",6
"JAHLEEL",6
"JAMARI",6
"JAMISON",6
"JAN",6
"JAXSEN",6
"JAYCEON",6
"JAYDAN",6
"JAYEN",6
"JEFFERY",6
"JERICHO",6
"JEVON",6
"JIA",6
"JIBRIL",6
"JOE",6
"JUJHAR",6
"KAAN",6
"KAEL",6
"KAINE",6
"KAIRO",6
"KAITO",6
"KAIUS",6
"KALVIN",6
"KARAN",6
"KARSEN",6
"KEANU",6
"KEN",6
"KENT",6
"KEYAAN",6
"KEYAN",6
"KIMI",6
"KOA",6
"KORBIN",6
"KRISHIV",6
"KYAN",6
"LAYNE",6
"LAYTON",6
"LAZAR",6
"LESTER",6
"LOGEN",6
"LOUKA",6
"LYLE",6
"MAISON",6
"MAKSYM",6
"MANVEER",6
"MARLEY",6
"MATÍAS",6
"MAVRICK",6
"MAXSON",6
"MAYSON",6
"MEHDI",6
"MINH",6
"MOHSIN",6
"MOUSA",6
"NAKSH",6
"NIHAAL",6
"NIKITA",6
"OJAS",6
"OLLIE",6
"ONYX",6
"OSMAN",6
"PABLO",6
"PARSA",6
"RAHEEM",6
"RALPH",6
"RAMI",6
"RANVIR",6
"REN",6
"ROAN",6
"RODERICK",6
"RODNEY",6
"RODRIGO",6
"RON",6
"SAEED",6
"SAFWAN",6
"SASHA",6
"SELIM",6
"SHAYNE",6
"SHELDON",6
"SHIVAM",6
"SIDDHARTH",6
"SIMEON",6
"SLATER",6
"STEVE",6
"SUTTON",6
"TALON",6
"TEEGAN",6
"TENNYSON",6
"TERENCE",6
"TERRY",6
"THADDEUS",6
"TRACE",6
"TRISTIN",6
"WES",6
"WILHELM",6
"WREN",6
"WYLDER",6
"YUG",6
"ZACH",6
"ZAHIR",6
"ZAK",6
"ZAKAI",6
"ZAKI",6
"ZEPHYR",6
"ZIYAD",6
"ZUBAIR",6
